car_ID,symboling,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
183,2,std,two,sedan,fwd,front,-8369.839984,15281.06671,3997.338606,55.7,2261,four,97,3.01,3.4,23,52,4800,37,46,13327.00558
184,2,std,two,sedan,fwd,front,4057.079322,7875.090705,2834.796842,55.7,2209,four,109,3.19,3.4,9,85,5250,27,34,8301.547009
185,2,std,four,sedan,fwd,front,-1590.402283,-4343.529245,8465.819554,55.7,2264,four,97,3.01,3.4,23,52,4800,37,46,8333.049116
186,2,std,four,sedan,fwd,front,5909.303953,-6915.617371,-3914.631191,55.7,2212,four,109,3.19,3.4,9,85,5250,27,34,15801.27045
187,2,std,four,sedan,fwd,front,3983.200997,4207.053372,-1993.499482,55.7,2275,four,109,3.19,3.4,9,85,5250,27,34,4466.642174
188,2,turbo,four,sedan,fwd,front,-385.3313013,-10290.16566,-7664.609726,55.7,2319,four,97,3.01,3.4,23,68,4500,37,42,10363.96622
189,2,std,four,sedan,fwd,front,-6577.049745,14923.37013,-3388.846081,55.7,2300,four,109,3.19,3.4,10,100,5500,26,32,6396.79769
190,3,std,two,convertible,fwd,front,-11924.2778,9694.820966,3182.603944,55.6,2254,four,109,3.19,3.4,8.5,90,5500,24,29,8219.030181
191,3,std,two,hatchback,fwd,front,-3377.619617,-3487.705217,6219.908933,51.4,2221,four,109,3.19,3.4,8.5,90,5500,24,29,7606.623012
192,0,std,four,sedan,fwd,front,7051.590355,-13424.87623,-7210.422593,55.1,2661,five,136,3.19,3.4,8.5,110,5500,19,24,15172.07017
193,0,turbo,four,sedan,fwd,front,1913.149953,11111.17899,7123.747361,55.1,2579,four,97,3.01,3.4,23,68,4500,33,38,10115.01103
194,0,std,four,wagon,fwd,front,-9765.51023,-633.218762,11012.00287,55.1,2563,four,109,3.19,3.4,9,88,5500,25,31,22436.049
195,-2,std,four,sedan,rwd,front,1589.747407,10191.3305,3474.679226,56.2,2912,four,141,3.78,3.15,9.5,114,5400,23,28,5883.141582
196,-1,std,four,wagon,rwd,front,3286.839038,-12466.62127,15181.5665,57.5,3034,four,141,3.78,3.15,9.5,114,5400,23,28,12020.02685
197,-2,std,four,sedan,rwd,front,-6866.55949,-4506.200184,-6023.113593,56.2,2935,four,141,3.78,3.15,9.5,114,5400,24,28,12567.15153
198,-1,std,four,wagon,rwd,front,1434.100848,330.7495977,-9790.037626,57.5,3042,four,141,3.78,3.15,9.5,114,5400,24,28,28190.82307
199,-2,turbo,four,sedan,rwd,front,669.9697476,664.6447501,-14062.56199,56.2,3045,four,130,3.62,3.15,7.5,162,5100,17,22,20092.43821
200,-1,turbo,four,wagon,rwd,front,-8939.462383,-3311.723772,12135.55449,57.5,3157,four,130,3.62,3.15,7.5,162,5100,17,22,27304.75632
201,-1,std,four,sedan,rwd,front,3071.398883,5271.599459,5403.825251,55.5,2952,four,141,3.78,3.15,9.5,114,5400,23,28,5060.517016
202,-1,turbo,four,sedan,rwd,front,4695.376211,-8252.163435,-275.8773673,55.5,3049,four,141,3.78,3.15,8.7,160,5300,19,25,21281.40213
203,-1,std,four,sedan,rwd,front,8873.509945,-850.2358802,2408.649011,55.5,3012,six,173,3.58,2.87,8.8,134,5500,18,23,28702.04636
204,-1,turbo,four,sedan,rwd,front,8639.516416,1251.165054,-8835.012378,55.5,3217,six,145,3.01,3.4,23,106,4800,26,27,23228.27191
205,-1,turbo,four,sedan,rwd,front,-10812.25494,4404.310672,19734.91584,55.5,3062,four,141,3.78,3.15,9.5,114,5400,19,25,31248.843
